PUMFID,VERDATE,AGEGRP,BH_05,BH_10,BH_25,BH_30,BH_45,PBH_50,BH_15A,BH_15B,BH_15C,BH_15D,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_55A,BH_55B,BH_55C,BH_55D,BH_55E,BH_55F,BH_55G,BH_55H,BH_55I,BH_55J,BH_55K,BH_55L,BH_60A,BH_60B,BH_60C,BH_60D,BH_60E,BH_60F,PBH_65A,BH_65B,BH_65C,PBH_70_C,DWELCODC,EDUC_LVC,PEMPSTC,HASCHILD,HHLDSIZC,IMMIGRNC,LM_30,LM_40,PLM_45,LM_35A,LM_35B,LM_35CDE,LM_35F,MARSTATC,SEX,PTELEWSC,COVID_WT
1267,23/04/2020,6,1,1,3,3,2,1,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,4,4,4,4,3,3,3,3,1,3,3,3,3,4,4,3,3,3,2,2,2,1,2,1,3,4,4,4,4,4,2,2,1,6,1,3,4,0,2,1,6,2,2,2,2,2,1,1,2,9,2599.5633
1268,23/04/2020,3,7,7,4,5,1,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,4,4,2,2,2,2,1,1,1,1,2,1,1,2,2,3,2,3,3,3,4,1,3,4,4,4,4,4,2,2,1,6,1,4,3,1,4,2,3,5,1,2,2,2,1,1,2,4,22162.8534
1269,23/04/2020,2,7,6,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,4,4,4,4,3,3,3,3,3,1,3,3,2,3,3,2,2,3,2,1,3,1,1,2,4,3,4,4,4,4,2,2,1,6,1,7,1,1,2,2,4,4,2,2,2,2,1,1,2,3,11066.9607
1270,23/04/2020,5,6,1,2,3,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,3,3,4,2,4,2,9,9,9,9,1,9,9,3,9,9,4,3,4,3,3,3,3,4,9,3,9,9,9,9,9,2,2,1,6,3,7,9,0,1,2,2,2,2,2,2,2,1,4,1,4,5826.0357
1271,23/04/2020,5,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,3,4,2,4,4,3,3,3,1,1,1,1,3,2,4,4,3,3,3,1,1,2,2,2,1,3,4,4,4,4,4,2,2,1,6,1,7,4,0,1,1,6,4,3,2,2,2,1,3,2,9,1641.2692
1272,23/04/2020,3,11,8,1,1,2,9,1,2,1,3,2,2,1,2,2,1,1,1,1,1,2,1,2,2,3,2,9,2,4,3,3,3,3,1,1,1,1,2,3,3,2,2,2,4,4,4,4,2,1,3,4,3,4,4,4,2,2,1,6,4,6,1,0,3,1,5,5,2,2,2,2,1,4,1,3,19928.8745
1273,23/04/2020,5,6,6,2,4,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,4,3,3,4,1,3,3,3,1,1,3,3,2,1,4,4,4,4,4,2,2,1,2,1,3,4,4,4,4,4,2,1,2,1,4,7,1,0,1,1,3,5,2,2,2,2,1,4,2,1,1437.5287
1274,23/04/2020,4,1,1,3,9,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,9,9,9,9,2,9,9,9,1,1,9,9,2,3,3,3,2,3,3,3,2,2,3,1,3,4,4,4,4,3,2,2,1,6,1,3,1,0,3,1,4,5,3,2,2,2,1,1,1,3,2207.5821
1275,23/04/2020,7,1,1,3,9,2,2,9,2,9,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,9,9,2,9,3,3,3,3,1,1,3,3,3,3,4,4,4,4,3,3,3,3,2,1,3,3,4,4,4,4,2,2,1,6,1,2,9,0,2,1,9,5,3,2,2,2,1,1,1,9,7183.6773
1276,23/04/2020,3,11,6,2,3,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,2,2,2,3,4,3,3,4,3,2,3,3,1,1,3,1,4,4,4,4,4,4,4,2,2,2,3,1,3,4,4,4,4,4,2,2,1,6,1,4,1,1,3,1,5,5,2,2,2,2,1,1,2,3,15379.8377
